Discipline	FEM	stem	FAB	HW_OC	work_offcamp	work_total	SEL_A	SmE	greverbal	gremath	grewriting	gre_overall_z
ANTHROPOLOGY	59.59999847	0	3.719202995	3.046153784	3.907692308	6.953846154	1.75	0.695652187	156	149	4.1	0.1945132
ARCHAEOLOGY	52.29999924	0	3.761063099	4.033333302	2.733333333	6.766666667	1.666666627	2.783333302	156	149	4.1	0.1945132
ART HISTORY	76.80000305	0	4.056034565	2.85185194	4	6.851851852	2.222222328	2.137931108	156	149	4.1	0.1945132
ASTRONOMY	29.20000076	1	4.129306793	4.485714436	1.914285714	6.4	2.5	4.028571606	156	161	3.9	0.7125899
BIOCHEMISTRY	45.40000153	1	4.24846077	5.29629612	2.37037037	7.666666667	3.125	3.344827652	153	153	3.9	-0.1996254
CHEMISTRY	37.79999924	1	4.110049725	5.734939575	1.771084337	7.506024096	4	3.819277048	153	157	3.8	-0.0752381
CLASSICS	41.79999924	0	4.340353489	3.833333254	2.916666667	6.75	1.714285731	1.625	157	149	4.2	0.4639644
COMMUNICATIONS	64.19999695	0	3.793604612	3.375	3.425	6.8	1.842105269	1.255813956	151	148	3.8	-0.9302412
COMPARATIVE LITERATURE	60.90000153	0	4.282945633	3.025000095	3.8	6.825	2.222222328	1.430232525	157	149	4.2	0.4639644
COMPUTER SCIENCE	18.60000038	1	4.292553425	3.844444513	2.755555556	6.6	1.642857194	3.148936272	148	158	3.3	-1.35517
EARTH SCIENCES	36.20000076	1	3.76157403	5.038461685	1.942307692	6.980769231	4	3.82407403	154	154	3.9	-0.0077625
ECONOMICS	34.40000153	0	4.374212265	4.086419582	2.518518519	6.604938272	2.181818247	2.829411745	154	159	3.9	0.3288641
EDUCATION	69.30000305	0	3.318436146	3.122807026	3.543859649	6.666666667	3.200000048	1.008620739	151	148	3.8	-0.9302412
ENGINEERING	22.20000076	1	4.292487621	4.551723957	2.329545455	6.881269592	3.377777815	3.382352829	150	160	3.5	-0.6816161
ENGLISH LITERATURE	62.40000153	0	4.418560505	2.640625	4.03125	6.671875	1.879999995	1.159090877	157	149	4.2	0.4639644
EVOLUTIONARY BIOLOGY	49.79999924	1	4.055377483	4.730769157	2.5	7.230769231	1.399999976	3.833333254	153	153	3.9	-0.1996254
HISTORY	45	0	3.902252674	2.868131876	3.791208791	6.659340659	2.235294104	1.163366318	156	148	4.1	0.1271879
LINGUISTICS	59.20000076	0	3.996794939	3.485714197	3.085714286	6.571428571	1.307692289	3.051282167				
MATHEMATICS	28.60000038	1	4.671992302	3.71653533	2.738095238	6.454630671	2.71875	4.706767082	154	162	3.8	0.3859261
MIDDLE EASTERN STUDIES	38.09999847	0	4.109375	2.625	4	6.625	2.400000095	0.125	156	151	4.2	0.4740775
MOLECULAR BIOLOGY	54.40000153	1	3.881249905	5.49152565	1.915254237	7.406779661	3.076923132	3.549999952	153	153	3.9	-0.1996254
MUSIC	15.80000019	0	4.451223373	3.222222328	3.777777778	7	3.400000095	2.178571463				
NEUROSCIENCE	49.40000153	1	3.833333254	4.761904716	1.952380952	6.714285714	2.625	2.607142925	150	149	3.7	-1.132367
PHILOSOPHY	31.39999962	0	5.111690998	2.706896544	3.172413793	5.879310345	1.294117689	3.008620739	160	153	4.4	1.396706
PHYSICS	18	1	4.414663315	4.739999771	2.58	7.32	3.535714388	3.966346264	156	161	3.9	0.7125899
POLITICAL SCIENCE	43.09999847	0	3.938108683	3.603603601	3.072072072	6.675675676	2.181818247	2.5625	156	151	4.2	0.4740775
PSYCHOLOGY	72.09999847	0	3.546328783	3.787234068	2.936170213	6.723404255	1.59375	1.433566451	152	149	3.9	-0.5934643
SOCIOLOGY	61.29999924	0	3.779078484	3.327586174	3.137931034	6.465517241	2.384615421	2.371794939	152	148	3.9	-0.6607896
SPANISH LITERATURE	59.90000153	0	4.073863506	3	3.227272727	6.227272727	2.666666746	1.5625	155	150	4	-0.0076127
STATISTICS	41.59999847	1	4.121362209	3.714285612	2.428571429	6.142857143	2	3.696428537	154	162	3.8	0.3859261